MagX, MagY, MagZ, GyroX, GyroY, GyroZ, AccelX, AccelY, AccelZ, Lum, Time
58.798889,-55.890717,-204.062256,0.002880,0.323163,0.324356,0.025116,-0.134888,-1.261292,0.301149,1455415731.969273
59.492691,-57.292374,-206.094406,0.563125,-0.255855,0.259127,-0.008301,0.092361,-1.173035,0.301712,1455415732.069113
54.462692,-60.621292,-206.602448,-0.077701,0.260081,0.026213,-0.024490,-0.160736,-0.825455,0.301834,1455415732.169029
57.064407,-59.745255,-205.078323,-0.620002,0.073596,-0.292780,-0.034241,-0.026245,-0.873947,0.302285,1455415732.268917
57.237854,-55.715515,-206.941132,-0.436262,-0.082504,-0.235246,0.005905,-0.086044,-0.934158,0.301097,1455415732.368955
57.237854,-53.963455,-207.279831,-0.277485,0.177088,-0.144651,-0.056915,-0.094803,-1.002243,0.299175,1455415732.469002
58.451996,-56.241135,-207.787872,-0.002144,0.038576,-0.098745,-0.057953,-0.007034,-1.251434,0.298449,1455415732.568984
55.503387,-55.715515,-208.634598,0.434570,-0.249769,-0.349831,-0.072922,0.219009,-1.314850,0.299442,1455415732.668992
54.983032,-58.343613,-206.771790,0.072578,0.449576,-0.404002,-0.084015,0.057022,-0.644592,0.299918,1455415732.769015
56.370621,-59.394836,-206.771790,-0.636178,0.487981,-0.292612,0.075348,-0.107941,-0.724106,0.301155,1455415732.869029
56.023727,-56.241135,-206.433105,-0.684077,0.297847,0.099388,-0.008118,0.022476,-1.126556,0.301336,1455415732.969003
54.809586,-57.117172,-207.618530,0.150906,-0.130544,0.057316,-0.111115,-0.147507,-1.032394,0.299890,1455415733.069019
56.023727,-60.095673,-206.094406,0.093084,0.138202,0.124238,0.012772,-0.089966,-1.224533,0.299380,1455415733.168996
57.237854,-59.219635,-205.247681,0.063376,-0.262841,0.030000,0.143951,0.398331,-1.487045,0.300542,1455415733.269049
52.034424,-64.826233,-202.876831,-0.039623,0.122640,0.097110,0.064072,-0.119614,-0.572189,0.300254,1455415733.368979
52.728210,-62.723755,-203.554214,-0.498377,0.381367,0.179658,0.046173,0.082123,-0.904465,0.301157,1455415733.468995
50.473389,-61.847733,-203.046173,-0.205043,0.015311,0.115879,-0.029938,-0.094009,-1.005249,0.300386,1455415733.568976
49.606140,-62.022934,-201.522064,0.020502,-0.077642,-0.196008,-0.075684,-0.054123,-1.145203,0.299322,1455415733.669003
49.085800,-63.249374,-201.691406,0.257883,-0.160394,-0.398108,-0.040146,0.002563,-1.222717,0.299128,1455415733.768999
49.085800,-61.146896,-201.352707,0.096102,-0.698726,-0.171205,-0.035400,0.387543,-1.016876,0.300759,1455415733.868711
46.830978,-62.022934,-201.183365,0.065745,-0.102434,-0.397805,-0.103134,0.019211,-0.670853,0.301045,1455415733.968988
48.392014,-60.796494,-200.675323,-0.725531,0.207907,-0.068665,0.154266,-0.041702,-0.879135,0.303683,1455415734.069013
49.432693,-59.394836,-201.014023,-0.150759,-0.183267,0.246176,-0.048157,-0.015808,-1.139511,0.303749,1455415734.168986
47.351318,-60.446075,-201.014023,0.244411,-0.017109,0.120763,-0.117096,-0.046951,-1.114929,0.301528,1455415734.269124
49.432693,-60.095673,-198.643173,-0.209083,0.324571,0.252810,-0.011444,-0.101044,-1.268112,0.302047,1455415734.368978
47.004425,-65.351852,-197.627090,1.732468,-1.066875,0.072776,0.040588,0.154877,-0.948959,0.303688,1455415734.468992
45.096497,-67.279114,-196.441666,-0.132228,0.081345,0.210728,0.026016,0.108398,-0.697372,0.306296,1455415734.568984
45.790283,-65.877472,-196.441666,-0.623631,0.125200,0.146919,0.010880,0.004913,-0.792084,0.308426,1455415734.668989
44.402710,-65.176636,-194.748199,-0.429918,0.171332,0.021703,-0.083694,-0.099838,-0.972092,0.307353,1455415734.768999
46.657532,-63.950195,-195.933624,-0.356396,0.266102,-0.190762,-0.047165,0.123184,-1.491730,0.304791,1455415734.868988
47.698212,-62.548553,-195.594940,-0.136075,0.114853,-0.180666,0.136383,0.486542,-1.397644,0.304760,1455415734.968970
45.269943,-65.702255,-194.240173,0.909884,-0.190045,-0.336656,-0.202118,0.077286,-0.605240,0.306349,1455415735.068991
45.963730,-66.403076,-192.208008,-0.677445,0.406408,-0.477638,0.113785,0.140121,-0.812073,0.308940,1455415735.169133
47.351318,-64.300613,-192.885391,-0.504716,0.013485,-0.016262,-0.051392,-0.098618,-0.846512,0.310042,1455415735.268960
48.738907,-62.548553,-191.530624,-0.241652,0.307401,0.200204,0.000763,-0.061234,-1.023178,0.309054,1455415735.369012
52.034424,-62.373352,-191.699966,-0.226138,0.151873,0.410120,0.098877,0.079025,-1.592865,0.308019,1455415735.468983
48.912354,-62.723755,-191.022583,1.786619,-1.323047,0.309127,-0.007309,0.317963,-1.313309,0.308302,1455415735.568985
47.698212,-66.403076,-188.821091,0.226025,-0.277298,0.021111,-0.048355,0.036118,-0.656281,0.311154,1455415735.668976
47.177872,-64.826233,-187.635666,-0.231558,0.057391,-0.110801,0.019989,0.149719,-0.707947,0.313752,1455415735.768979
49.085800,-63.599792,-188.821091,-0.285112,0.245302,-0.087938,-0.017654,-0.064423,-0.931732,0.312757,1455415735.868983
50.820282,-62.198135,-189.159775,-0.544612,0.421043,-0.102587,-0.064575,0.043579,-1.265091,0.311350,1455415735.968981
53.248550,-60.095673,-187.805008,-0.253092,0.348264,-0.532775,-0.064529,0.311722,-1.423904,0.310310,1455415736.068996
50.993729,-60.621292,-188.651733,0.318146,-0.033256,-1.020169,-0.289490,0.173721,-0.560822,0.311045,1455415736.169191
51.340622,-61.672516,-188.313049,-0.224622,-0.048769,-0.955107,0.009872,-0.004868,-0.552063,0.314913,1455415736.269048
53.768906,-57.817993,-189.667816,-0.459506,0.174830,-0.601048,0.078949,-0.128845,-0.763306,0.315242,1455415736.369046
54.636139,-54.138657,-188.821091,-0.220383,0.365790,0.229521,0.121109,-0.018311,-1.103683,0.313268,1455415736.469047
54.809586,-53.963455,-187.974350,-0.380959,0.632541,0.254838,0.106567,0.032547,-1.501495,0.311586,1455415736.569073
55.503387,-54.664276,-189.329132,1.763650,-1.333621,0.135373,0.087799,0.298904,-1.416534,0.311832,1455415736.669035
52.034424,-58.518814,-190.345200,-0.226106,0.230020,0.205237,-0.017578,0.025574,-0.759399,0.312900,1455415736.769049
54.115799,-58.869232,-190.006516,0.252246,0.005961,0.088005,0.033005,0.059097,-0.668686,0.318700,1455415736.869033
52.901657,-58.343613,-188.143707,-0.286104,0.064734,0.172714,-0.012482,-0.102402,-0.682953,0.320259,1455415736.969054
54.462692,-57.467575,-188.990433,-0.653095,0.298954,-0.038575,-0.018845,-0.017609,-1.059692,0.321105,1455415737.069086
56.890961,-53.613052,-185.942200,-0.783845,0.503091,-0.173958,0.020203,0.351135,-1.583771,0.320596,1455415737.168947
57.584763,-52.912216,-188.313049,0.145173,0.179005,-0.580360,0.011917,0.239853,-0.926376,0.317761,1455415737.269004
54.809586,-51.860992,-188.990433,0.020828,-0.146718,-0.390065,0.001038,0.012802,-0.561203,0.320385,1455415737.369009
54.983032,-53.087433,-189.159775,-0.191002,0.163716,-0.194826,0.009750,-0.057541,-0.717621,0.327291,1455415737.469157
53.942352,-49.933716,-188.821091,-0.241451,0.014307,0.266549,0.014114,-0.013382,-1.106888,0.329650,1455415737.569082
54.983032,-52.386597,-188.821091,-0.363393,0.074094,0.263401,0.118332,-0.017838,-1.348831,0.329611,1455415737.669033
53.248550,-50.284134,-190.853241,1.135340,-0.743963,0.330769,0.180786,0.339279,-1.435944,0.330612,1455415737.769044
53.768906,-55.014694,-190.006516,0.003422,0.186110,0.433134,0.082733,0.086792,-0.875778,0.335516,1455415737.869047
50.646835,-56.065933,-190.345200,0.178717,-0.030327,0.331677,0.026215,0.031036,-0.615723,0.336875,1455415737.969041
51.167175,-54.839493,-189.159775,-0.239242,0.230351,0.248714,-0.058990,-0.070160,-0.777039,0.340205,1455415738.069278
50.993729,-53.613052,-189.667816,-0.726496,0.352161,0.116258,-0.034729,0.037018,-1.144409,0.340000,1455415738.169235
52.901657,-50.284134,-190.175858,-0.697448,0.331083,-0.176139,-0.031830,0.509995,-1.700760,0.338504,1455415738.268800
50.473389,-54.138657,-191.191940,0.135186,-0.390261,-0.949892,-0.063797,0.172806,-0.720535,0.337781,1455415738.369035
48.738907,-56.591553,-191.530624,0.018743,-0.154968,-0.519945,0.055817,-0.009750,-0.548889,0.348864,1455415738.469056
49.085800,-56.591553,-190.853241,-0.328226,0.337623,-0.093193,0.019226,-0.113312,-0.727936,0.353006,1455415738.569049
50.299942,-54.664276,-190.345200,-0.224296,0.268246,0.382109,-0.028854,-0.083328,-1.114334,0.355828,1455415738.669253
51.514069,-55.890717,-189.159775,-0.302609,0.190117,0.543549,0.093857,0.034561,-1.462067,0.354615,1455415738.769146
52.381317,-57.117172,-188.990433,1.047898,-0.908223,0.276662,0.114868,0.156219,-1.327393,0.357478,1455415738.869026
48.912354,-60.621292,-190.345200,0.074235,-0.218722,0.631545,0.099045,0.071503,-0.823181,0.363658,1455415738.969051
47.004425,-63.249374,-188.821091,0.079977,0.035053,0.715055,0.062820,0.124847,-0.735886,0.379438,1455415739.069055
49.085800,-62.548553,-188.821091,-0.412041,0.457091,0.797140,-0.061401,0.000336,-0.819092,0.383826,1455415739.169038
48.045105,-64.300613,-188.482391,-0.303712,0.424896,0.307669,-0.130920,0.008682,-1.171600,0.386536,1455415739.269036
48.565460,-61.322113,-186.958282,-0.872918,0.519173,0.293290,-0.005737,0.123428,-1.450211,0.386938,1455415739.369037
47.524765,-63.074173,-186.280899,1.366881,-1.311137,-0.063686,0.019180,0.203232,-1.035461,0.385718,1455415739.469034
46.310638,-65.001434,-186.788925,0.469589,-0.288183,0.120621,0.058746,0.199814,-0.917969,0.393032,1455415739.569070
45.269943,-65.001434,-186.450241,0.150313,-0.075648,0.516220,0.045563,-0.102371,-0.683029,0.399945,1455415739.669047
44.749603,-64.475815,-184.248734,-0.863753,0.242622,1.283385,-0.015884,-0.032501,-0.895752,0.400753,1455415739.768966
45.269943,-65.001434,-184.418091,-0.176922,-0.020335,1.009740,-0.073822,0.094589,-1.262054,0.392872,1455415739.869055
43.362015,-63.774994,-183.232666,-0.219831,-0.348469,1.366924,-0.028473,0.005219,-1.162582,0.389645,1455415739.969151
36.077194,-65.877472,-182.893967,0.821507,-0.176748,1.501012,0.109589,0.021881,-0.830643,0.392182,1455415740.069001
34.689606,-64.125412,-181.539200,-0.589355,0.139111,1.333745,0.096161,0.162613,-1.012985,0.396513,1455415740.169054
33.822372,-62.198135,-180.015076,0.153394,0.287999,1.201516,0.097931,0.060867,-0.882797,0.392331,1455415740.269050
30.700302,-61.146896,-178.660309,0.228654,-0.035634,1.178087,0.058014,0.006393,-1.018066,0.390110,1455415740.368904
30.700302,-59.745255,-177.982925,0.230462,-0.339491,1.056058,0.058014,0.079224,-1.241608,0.381078,1455415740.468964
27.404785,-55.014694,-177.136200,-0.183861,-0.939638,1.078644,0.120621,0.497009,-1.597900,0.378782,1455415740.569058
24.282730,-55.715515,-176.797501,0.620026,-0.378856,1.098528,-0.019302,-0.008804,-0.517532,0.370388,1455415740.669060
20.466873,-53.963455,-175.781418,-0.393210,0.547061,1.120282,0.012207,0.084778,-0.853470,0.372876,1455415740.769043
24.803070,-50.284134,-177.305542,-0.338102,0.148999,1.536675,0.006607,0.069824,-1.020355,0.359013,1455415740.868843
22.027893,-45.728775,-177.305542,0.259721,-0.364240,1.342456,-0.116867,0.017120,-0.856018,0.352214,1455415740.968945
24.629623,-43.451096,-176.797501,-0.345937,0.276678,1.285182,0.038635,0.102264,-1.074265,0.354296,1455415741.068873
24.456177,-38.019714,-176.966843,-0.987808,0.562621,1.535000,0.072205,0.105026,-1.404312,0.351712,1455415741.168682
26.364105,-36.793274,-179.168350,1.381682,-0.170657,1.627608,0.121185,0.074875,-0.703720,0.344722,1455415741.268930
27.057892,-33.989975,-180.523117,-0.251207,0.228100,1.366826,0.134232,0.150085,-0.822906,0.347650,1455415741.369014
30.700302,-32.062714,-181.708542,-0.278784,0.506220,1.262842,0.153961,-0.001190,-0.796417,0.347153,1455415741.469042
35.556854,-29.259415,-184.079391,-0.097655,-0.105130,1.380400,0.057755,0.092010,-1.002914,0.347336,1455415741.569068
37.638229,-28.208176,-184.756775,-0.203966,0.270148,0.851573,-0.068130,0.061691,-1.148514,0.346900,1455415741.669048
39.893051,-25.229675,-184.926117,-0.937091,-0.043850,0.528597,0.054947,0.351044,-1.505417,0.345682,1455415741.769085
35.730301,-29.434616,-185.942200,1.463936,-0.949464,0.208764,-0.083145,0.096420,-0.565277,0.342014,1455415741.869034
35.730301,-29.785034,-190.345200,-0.450437,0.635773,0.058297,0.036133,0.017303,-0.659470,0.340632,1455415741.969149
41.280640,-26.280914,-188.313049,-0.565132,0.717956,0.572467,0.061996,0.040955,-1.031738,0.332251,1455415742.069041
45.616837,-25.404877,-190.175858,-0.170952,-0.105623,0.769899,-0.174973,-0.053070,-1.059921,0.330033,1455415742.169066
48.392014,-27.156937,-189.498474,0.040369,-0.273158,0.223326,0.018021,0.098679,-1.300354,0.329578,1455415742.269030
50.993729,-30.135437,-190.345200,-0.224365,0.202884,0.597709,0.012878,0.018890,-1.252396,0.328979,1455415742.369060
52.554764,-36.267654,-191.869324,1.099232,0.162026,0.798618,0.068954,-0.055634,-0.515747,0.329290,1455415742.469061
57.064407,-40.122177,-190.514557,-0.424389,1.104393,0.604032,0.056061,0.122818,-0.809067,0.337574,1455415742.569034
61.747513,-44.852737,-188.651733,-0.156944,0.309169,0.359707,0.012253,-0.028183,-0.812149,0.334240,1455415742.669042
60.880264,-48.882477,-188.482391,-0.078472,-0.018468,0.210738,-0.051987,-0.079254,-1.108521,0.333685,1455415742.769042
60.533371,-54.489075,-188.821091,-0.118994,-0.180615,0.019919,0.048431,0.078857,-1.388718,0.333415,1455415742.869271
55.329926,-57.642776,-188.482391,1.027116,-1.056794,-0.096860,0.130051,0.588882,-1.512466,0.333607,1455415742.969012
50.646835,-63.774994,-186.619583,0.093194,-0.612753,-0.642074,-0.182785,0.040588,-0.582642,0.332370,1455415743.069044
46.310638,-63.599792,-185.434158,-0.664877,0.254179,-0.414566,0.047791,-0.112213,-0.661606,0.331935,1455415743.169050
45.269943,-62.548553,-184.756775,-0.451614,0.169611,0.070392,-0.073746,-0.020615,-1.061523,0.330748,1455415743.269058
40.066498,-62.548553,-182.047241,-0.024816,0.323359,-0.152626,-0.081680,-0.032928,-1.225143,0.328754,1455415743.369022
40.760300,-59.745255,-181.708542,-0.184795,0.068357,0.137705,0.017624,-0.274704,-1.181366,0.324299,1455415743.469031
36.944427,-56.941956,-180.015076,0.946006,-0.700615,0.367193,0.143585,0.155563,-0.911911,0.323486,1455415743.569072
33.995819,-56.766754,-180.184433,-0.313732,-0.039689,0.721864,0.034012,0.048721,-0.792953,0.321152,1455415743.669055
33.128571,-52.737015,-179.337692,-0.204120,0.120902,0.549567,0.020142,0.038620,-0.855240,0.321452,1455415743.768595
31.220642,-49.057693,-177.813583,0.004272,0.010831,0.366128,-0.200302,-0.105286,-0.919373,0.320050,1455415743.869244
29.486160,-46.604813,-176.120117,0.039930,-0.053480,-0.216924,-0.174026,0.054871,-1.155991,0.319234,1455415743.969054
31.220642,-43.801514,-175.442734,-0.691197,0.443625,-0.465867,0.029236,0.462280,-1.379272,0.319201,1455415744.069047
30.353409,-41.874237,-177.305542,-0.398538,0.496754,-0.597370,-0.268280,0.103333,-0.713043,0.318892,1455415744.169054
29.312714,-43.976715,-175.612076,0.029418,0.138966,-0.613827,-0.074570,-0.003586,-0.741531,0.318191,1455415744.269269
30.006516,-41.523834,-176.628159,0.104850,0.107594,-0.504634,-0.114273,-0.156494,-0.745453,0.317877,1455415744.369038
29.833069,-41.699036,-175.442734,0.095310,0.090829,-0.153724,-0.044586,-0.068787,-1.085983,0.318485,1455415744.469001
31.394089,-41.523834,-175.612076,0.065586,0.305131,0.195149,-0.057037,-0.092316,-1.126709,0.317630,1455415744.569055
32.434784,-39.070953,-175.950775,0.374245,-0.420176,0.135779,0.057709,0.091217,-1.342621,0.317663,1455415744.669043
32.781677,-39.421356,-176.966843,-0.519391,-0.065061,0.282086,0.072311,0.086777,-0.943130,0.317209,1455415744.769093
32.955124,-38.194916,-176.458801,0.031935,-0.395726,0.272505,-0.023285,-0.025085,-0.804367,0.317090,1455415744.868960
33.822372,-37.669296,-176.966843,-0.028770,-0.132235,0.180828,-0.106827,-0.151352,-0.849594,0.317117,1455415744.969116
35.556854,-36.267654,-177.982925,-0.378005,0.214852,0.064046,-0.076355,-0.025848,-1.180313,0.315734,1455415745.069048
35.556854,-34.865997,-177.982925,-0.302309,0.320997,-0.027032,-0.152740,-0.108521,-1.178757,0.315073,1455415745.169052
36.597534,-35.216415,-179.337692,0.971347,-0.429367,-0.439536,-0.158981,0.132019,-0.769867,0.314762,1455415745.269055
35.209961,-36.968475,-178.999008,-0.079246,0.030602,-0.884894,-0.139755,-0.027359,-0.712234,0.315359,1455415745.369056
35.209961,-34.865997,-177.305542,-0.575162,-0.003781,-0.597039,0.071320,-0.097290,-0.833023,0.316518,1455415745.469051
36.250641,-33.464355,-178.999008,-0.086795,-0.064797,-0.075848,0.004654,-0.135452,-1.048416,0.316737,1455415745.569053
37.638229,-33.464355,-179.337692,0.213878,-0.118216,0.034693,-0.086029,0.010513,-1.248886,0.316635,1455415745.669042
37.291336,-33.814774,-178.999008,-0.442303,0.182245,0.226980,-0.073029,-0.049286,-1.147858,0.317097,1455415745.769202
38.332016,-34.865997,-181.031158,0.346658,-0.078809,0.307748,0.045364,-0.123444,-0.664017,0.318264,1455415745.869036
40.239944,-33.289154,-181.877884,-0.331510,0.239333,0.108342,-0.030777,0.075027,-0.948288,0.320083,1455415745.969045
38.332016,-34.515594,-181.031158,-0.136789,-0.043593,0.059906,-0.046585,-0.106079,-0.884247,0.320527,1455415746.069045
39.372711,-34.865997,-183.402008,-0.101871,-0.066722,-0.054750,-0.025513,-0.143997,-0.978333,0.320462,1455415746.169087
39.893051,-36.092438,-183.232666,0.276711,-0.357771,-0.103285,-0.028442,-0.045410,-1.222672,0.320042,1455415746.269036
39.372711,-33.814774,-183.402008,-0.795480,0.206173,-0.214170,-0.103989,0.200272,-1.300232,0.320567,1455415746.369048
39.025818,-36.968475,-185.095474,0.231183,-0.260975,-0.073429,0.025665,-0.003006,-0.721634,0.320394,1455415746.469043
38.332016,-36.968475,-184.756775,-0.307338,0.403230,-0.258548,-0.073914,0.015152,-0.879868,0.321994,1455415746.569009
39.199265,-35.391617,-184.926117,-0.049510,0.017932,-0.041948,-0.060593,-0.079346,-0.969711,0.322425,1455415746.669088
39.025818,-37.318893,-185.434158,-0.210630,-0.006516,0.014605,-0.119263,-0.127869,-0.884415,0.321987,1455415746.771975
